term,count
plantar fascia,2
middle cuneiform,2
lateral column,2
flexor hallucis brevis,2
sesamoids,2
sesamoid,2
peroneal tendon,2
subtalar,2
talar,2
fdl,2
sustentaculum tali,2
toes,2
forefoot,2
sesamoid complex,2
first metatarsal,2
talocalcaneal angle,2
mtpj,2
glenoid fossa,1
svc,1
sternoclavicular joint,1
subclavian artery,1
acetabular roof,1
anterior border,1
iliopubic line,1
medial acetabular wall,1
posterior border,1
tear drop,1
sacral foramina,1
posterior column,1
medial femoral neck,1
superomedial dome,1
penis,1
femoral condyles,1
talar domes,1
cuneiform,1
talar neck,1
synovial sheath,1
tendon sheath,1
parona's space,1
fingertip pulp,1
s. aureus,1
dorsal metacarpophalangeal joint,1
arm,1
adductor,1
posterior compartment,1
superficial posterior compartment,1
dorsal compartment,1
muscle,1
vessel,1
jaw,1
acromial process,1
coraclavicular ligaments,1
coracoid process,1
distal clavicle,1
lower subscapular nerve,1
upper subscapular nerve,1
transverse humeral ligament,1
glenoid tubercle,1
cephalic vein,1
anterior humeral circumflex artery,1
venous communicantes,1
pectoralis minor,1
acromioclavicular ligament,1
conjoined tendon,1
arcuate artery,1
scapulothoracic articulation,1
serratus anterior,1
long thoracic nerve,1
trapezius,1
cn xi,1
clavicular head,1
sternocostal head,1
suprascapular notch,1
transverse scapular ligament,1
inferior glenohumeral ligament,1
middle glenohumeral ligament,1
superior glenohumeral ligament,1
acromial branch of the thoracoacromial artery,1
pectoralis major tendon,1
cc ligaments,1
sternocleidomastoid,1
platysma,1
supraclavicular nerves,1
ac ligament,1
cc ligament,1
chest wall,1
lung,1
deltoid,1
neurovascular bundle,1
bankart lesions,1
superior capsule,1
suture,1
supraspinatus tendon,1
ac ligaments,1
superior labrum,1
mghl,1
anterior inferior glenohumeral ligament,1
glenohumeral ligament,1
infraspinatus tendon,1
upper arm,1
axillary recess,1
deltopectoral,1
conjoint tendon,1
glenosphere,1
brachialis,1
brachialis muscle,1
lateral head,1
medial head,1
triceps muscle,1
inferior glenoid tubercle,1
lateral trochlear ridge,1
flexor digitorum superficialis,1
extensor carpi radialis brevis,1
extensor carpi radialis longus,1
extensor carpi ulnaris,1
extensor digitorum,1
medial collateral ligament,1
sublime tubercle,1
anterior bundle,1
posterior bundle,1
transverse bundle,1
accessory lcl,1
lateral radial collateral ligament,1
lateral ulnar collateral ligament,1
supinator crest,1
arcade of struthers,1
osbourne's ligament,1
medial head of triceps,1
medial intermuscular septum,1
two heads of the fcu,1
articular branch,1
nerve to fcu,1
long head of the biceps,1
bicipital aponeurosis,1
ligament of struthers,1
supracondylar process,1
dorsal lateral hand,1
arcade of froshe,1
listers tubercle,1
proximal radioulnar joint,1
epicondyle,1
ecrb tendon,1
lacertus fibrosis,1
recurrent radial artery,1
accessory band,1
distal oblique bundle,1
dorsal oblique accessory cord,1
proximal oblique cord,1
bicipital tuberosity,1
ulnar styloid,1
articular disc,1
ecu subsheath,1
meniscal homologue,1
ulnolunate ligaments,1
ulnotriquetral ligaments,1
triangular fibrocartilage complex,1
wrist capsule,1
ecrl,1
edm,1
ei,1
palmar cutaneous branch,1
recurrent motor branch,1
thenar eminence,1
distal ulna,1
proximal radius,1
proximal ulna,1
palmar cutaneous branch of the median nerve,1
edc,1
supinator,1
distal radial ulnar joint,1
radial bow,1
tfcc,1
ecu tendon,1
lunate fossa,1
styloid process,1
radiocarpal joint,1
lister's tubercle,1
